Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
43,No,Non-Travel,1209,Research & Development,2,3,Other,1,1,4,Male,98,4,1,Healthcare Representative,1,Divorced,1847,26647,7,Y,Yes,13,3,2,80,2,3,3,3,1,1,1,0
24,No,Travel_Rarely,591,Sales,1,3,Technical Degree,1,2,1,Male,78,3,2,Sales Representative,4,Single,2783,14635,0,Y,Yes,17,3,3,80,3,1,4,4,1,1,1,1
47,No,Travel_Rarely,340,Sales,22,2,Technical Degree,1,3,2,Male,87,3,2,Manager,3,Married,1563,19448,1,Y,No,16,3,4,80,1,4,4,4,0,0,0,0
29,No,Travel_Rarely,1024,Research & Development,1,4,Medical,1,4,3,Female,57,2,5,Research Scientist,1,Married,10837,6800,0,Y,Yes,24,3,2,80,1,8,4,4,2,2,1,2
34,No,Non-Travel,641,Research & Development,3,4,Life Sciences,1,5,1,Male,56,3,1,Research Scientist,3,Married,1009,8683,4,Y,No,19,3,2,80,0,40,5,3,7,7,1,2
40,No,Travel_Frequently,481,Research & Development,6,4,Other,1,6,1,Female,51,3,4,Healthcare Representative,1,Married,10505,18383,3,Y,No,12,4,1,80,0,6,2,4,6,6,0,6
56,No,Travel_Rarely,900,Research & Development,1,4,Medical,1,7,4,Male,42,4,1,Manufacturing Director,4,Single,1723,11765,3,Y,Yes,11,3,4,80,2,3,2,2,1,1,1,1
60,No,Travel_Frequently,1044,Sales,21,1,Medical,1,8,4,Male,51,3,5,Sales Representative,3,Divorced,11693,11456,2,Y,No,25,4,3,80,1,2,3,3,2,2,2,2
43,No,Travel_Rarely,1453,Research & Development,3,5,Medical,1,9,1,Male,34,3,3,Manufacturing Director,4,Married,6023,15265,6,Y,No,19,3,1,80,1,2,3,3,2,1,1,2
36,Yes,Travel_Frequently,1429,Sales,1,4,Medical,1,10,2,Male,51,4,2,Sales Executive,1,Single,1009,5279,1,Y,No,17,3,4,80,0,2,4,4,2,1,1,1
42,No,Travel_Rarely,1407,Research & Development,29,4,Medical,1,11,4,Male,82,2,2,Manufacturing Director,3,Married,7262,9358,2,Y,No,15,3,3,80,0,16,4,3,4,4,4,1
